family,front_type,budget,parameter,value,frequency_pct
RE3D,extremePointsFronts,1000,createInitialSolutions,cauchy,53.333333333333336
RE3D,extremePointsFronts,1000,crossover,BLX-alpha-beta,63.33333333333333
RE3D,extremePointsFronts,1000,mutation,levyFlight,50.0
RE3D,extremePointsFronts,1000,selection,boltzmann,40.0
RE3D,extremePointsFronts,3000,createInitialSolutions,cauchy,33.33333333333333
RE3D,extremePointsFronts,3000,crossover,BLX-alpha-beta,46.666666666666664
RE3D,extremePointsFronts,3000,mutation,powerLaw,50.0
RE3D,extremePointsFronts,3000,selection,boltzmann,40.0
RE3D,extremePointsFronts,5000,createInitialSolutions,cauchy,43.333333333333336
RE3D,extremePointsFronts,5000,crossover,laplace,50.0
RE3D,extremePointsFronts,5000,mutation,levyFlight,63.33333333333333
RE3D,extremePointsFronts,5000,selection,tournament,26.666666666666668
RE3D,extremePointsFronts,7000,createInitialSolutions,cauchy,30.0
RE3D,extremePointsFronts,7000,crossover,laplace,93.33333333333333
RE3D,extremePointsFronts,7000,mutation,levyFlight,66.66666666666666
RE3D,extremePointsFronts,7000,selection,boltzmann,33.33333333333333
RE3D,referenceFronts,1000,createInitialSolutions,cauchy,53.333333333333336
RE3D,referenceFronts,1000,crossover,BLX-alpha-beta,60.0
RE3D,referenceFronts,1000,mutation,levyFlight,40.0
RE3D,referenceFronts,1000,selection,boltzmann,40.0
RE3D,referenceFronts,3000,createInitialSolutions,cauchy,30.0
RE3D,referenceFronts,3000,crossover,BLX-alpha,36.666666666666664
RE3D,referenceFronts,3000,mutation,levyFlight,60.0
RE3D,referenceFronts,3000,selection,tournament,46.666666666666664
RE3D,referenceFronts,5000,createInitialSolutions,cauchy,30.0
RE3D,referenceFronts,5000,crossover,laplace,50.0
RE3D,referenceFronts,5000,mutation,levyFlight,56.666666666666664
RE3D,referenceFronts,5000,selection,ranking,33.33333333333333
RE3D,referenceFronts,7000,createInitialSolutions,sobol,30.0
RE3D,referenceFronts,7000,crossover,laplace,63.33333333333333
RE3D,referenceFronts,7000,mutation,levyFlight,53.333333333333336
RE3D,referenceFronts,7000,selection,random,30.0
RWA3D,extremePointsFronts,1000,createInitialSolutions,cauchy,70.0
RWA3D,extremePointsFronts,1000,crossover,BLX-alpha-beta,56.666666666666664
RWA3D,extremePointsFronts,1000,mutation,powerLaw,83.33333333333334
RWA3D,extremePointsFronts,1000,selection,ranking,40.0
RWA3D,extremePointsFronts,3000,createInitialSolutions,cauchy,63.33333333333333
RWA3D,extremePointsFronts,3000,crossover,BLX-alpha-beta,60.0
RWA3D,extremePointsFronts,3000,mutation,powerLaw,100.0
RWA3D,extremePointsFronts,3000,selection,tournament,33.33333333333333
RWA3D,extremePointsFronts,5000,createInitialSolutions,cauchy,80.0
RWA3D,extremePointsFronts,5000,crossover,BLX-alpha-beta,46.666666666666664
RWA3D,extremePointsFronts,5000,mutation,powerLaw,100.0
RWA3D,extremePointsFronts,5000,selection,tournament,36.666666666666664
RWA3D,extremePointsFronts,7000,createInitialSolutions,cauchy,53.333333333333336
RWA3D,extremePointsFronts,7000,crossover,BLX-alpha,40.0
RWA3D,extremePointsFronts,7000,mutation,powerLaw,100.0
RWA3D,extremePointsFronts,7000,selection,boltzmann,36.666666666666664
RWA3D,referenceFronts,1000,createInitialSolutions,cauchy,60.0
RWA3D,referenceFronts,1000,crossover,BLX-alpha-beta,83.33333333333334
RWA3D,referenceFronts,1000,mutation,powerLaw,73.33333333333333
RWA3D,referenceFronts,1000,selection,boltzmann,30.0
RWA3D,referenceFronts,3000,createInitialSolutions,cauchy,70.0
RWA3D,referenceFronts,3000,crossover,BLX-alpha-beta,53.333333333333336
RWA3D,referenceFronts,3000,mutation,powerLaw,93.33333333333333
RWA3D,referenceFronts,3000,selection,boltzmann,30.0
RWA3D,referenceFronts,5000,createInitialSolutions,cauchy,86.66666666666667
RWA3D,referenceFronts,5000,crossover,BLX-alpha-beta,60.0
RWA3D,referenceFronts,5000,mutation,powerLaw,100.0
RWA3D,referenceFronts,5000,selection,boltzmann,26.666666666666668
RWA3D,referenceFronts,7000,createInitialSolutions,cauchy,56.666666666666664
RWA3D,referenceFronts,7000,crossover,laplace,36.666666666666664
RWA3D,referenceFronts,7000,mutation,powerLaw,93.33333333333333
RWA3D,referenceFronts,7000,selection,ranking,26.666666666666668
